date,long,short,long-short portfolio
20140305,0.003217557,-0.00034627048,0.0028712866
20140306,-0.0011602483,0.0039260373,0.0027657892
20140307,-0.033993743,0.038738117,0.0047443733
20140310,-0.000105938554,0.0010444181,0.00093847956
20140311,0.0012339888,0.004919811,0.0061538
20140312,0.014661466,-0.010586362,0.0040751034
20140313,-0.0028505912,0.004442103,0.001591512
20140314,0.0238682,-0.020387754,0.0034804456
20140317,0.005002455,-0.0054922486,-0.0004897937
20140318,0.00010355725,-0.0010496421,-0.00094608485
20140319,-0.02524482,0.025940925,0.000696104
20140320,0.020215346,-0.018161034,0.0020543113
20140321,0.005114134,-0.008486036,-0.0033719023
20140324,0.0019970923,0.0019498421,0.0039469344
20140325,0.005829418,-0.0036525698,0.0021768482
20140326,-0.020223433,0.015674561,-0.004548872
20140327,-0.023823768,0.020517945,-0.0033058226
20140328,-0.0043433597,0.0074209524,0.0030775927
20140331,0.017766893,-0.013034727,0.0047321655
20140401,-0.003652202,-0.00020208565,-0.0038542876
20140402,0.0020262683,0.0036646165,0.005690885
20140403,0.012108679,-0.009546878,0.002561801
20140404,0.010241667,-0.008621007,0.0016206596
20140408,0.011284296,-0.008093568,0.0031907288
20140409,0.0063677784,-0.002422546,0.0039452324
20140410,-0.0040495913,0.0036530592,-0.000396532
20140411,0.008453673,-0.00887595,-0.0004222775
20140414,-0.0049712574,0.008079597,0.0031083394
20140415,0.0001167673,-0.001815352,-0.0016985848
20140416,0.002260663,0.002058597,0.00431926
20140417,0.0042392025,-0.0030734674,0.0011657351
20140418,-0.014346417,0.018171493,0.003825076
20140421,-0.010931805,0.004030797,-0.0069010076
20140422,-0.003359691,0.0033751938,1.5502796e-05
20140423,-0.0078084776,0.008989105,0.0011806274
20140424,-0.019324971,0.021307364,0.0019823927
20140425,-0.03138512,0.028641209,-0.002743911
20140428,0.0136371795,-0.013102779,0.00053440034
20140429,0.012851096,-0.0058878497,0.006963246
20140430,0.011671146,-0.008131299,0.0035398472
20140505,0.00814362,-0.0039725704,0.004171049
20140506,-0.018222347,0.014112368,-0.0041099787
20140507,0.0012422148,-0.0019159734,-0.00067375856
20140508,-0.008786531,0.0077693164,-0.0010172147
20140509,0.02503272,-0.021003816,0.0040289033
20140512,0.00036676155,0.002368752,0.0027355135
20140513,-8.064741e-05,0.00066454615,0.00058389874
20140514,-0.019202527,0.016353132,-0.0028493945
20140515,-0.002554297,0.00090595,-0.001648347
20140516,-0.0026579194,0.004573864,0.0019159445
20140519,0.004482586,-0.002210423,0.002272163
20140520,0.010959094,-0.0077135838,0.0032455106
20140521,0.002915198,0.0039116447,0.0068268427
20140522,0.012734865,-0.0054897917,0.007245073
20140523,0.013816493,-0.009528266,0.0042882264
20140526,-0.0033443882,0.0022101114,-0.0011342769
20140527,0.013191478,-0.007950402,0.0052410765
20140528,-0.00889322,0.011929783,0.0030365633
20140529,0.0038062646,-0.0022831885,0.0015230761
20140530,-0.00014890969,0.0019232135,0.0017743038
20140603,-0.007507716,0.007155218,-0.00035249768
20140604,0.011828304,-0.011854522,-2.6217662e-05
20140605,-0.0010399495,0.0048440546,0.003804105
20140606,-0.004752948,0.005211755,0.00045880722
20140609,0.012073861,-0.010596397,0.0014774641
20140610,0.0063026836,-0.004453726,0.0018489575
20140611,-0.0010482778,0.0013615025,0.00031322462
20140612,0.012642162,-0.0096691605,0.0029730015
20140613,0.0072805276,-0.0054346733,0.0018458543
20140616,-0.006918813,0.008957981,0.002039168
20140617,-0.005610496,0.0064783115,0.0008678157
20140618,-0.024239296,0.027317788,0.0030784924
20140619,0.009398758,-0.010805631,-0.0014068726
20140620,0.008835575,-0.010470917,-0.0016353428
20140623,0.007900942,-0.0068352716,0.0010656705
20140624,-0.0030526689,0.0052355193,0.0021828504
20140625,0.01425131,-0.013696027,0.0005552834
20140626,0.009330645,-0.005458017,0.0038726283
20140627,0.01023885,-0.008436601,0.0018022489
20140630,0.0075961933,-0.0052719796,0.0023242137
20140701,0.0066522844,-0.006014282,0.00063800253
20140702,0.0076553854,-0.005351733,0.0023036525
20140703,0.0004989394,0.0032452564,0.0037441957
20140704,-0.00011271433,-0.0004955372,-0.00060825155
20140707,0.007838538,-0.0076250844,0.00021345355
20140708,-0.013338843,0.01388143,0.00054258667
20140709,0.0035506464,-0.0027337873,0.0008168591
20140710,0.008400002,-0.008147359,0.00025264267
20140711,0.013962789,-0.012674975,0.0012878142
20140714,0.00025371718,0.004606237,0.004859954
20140715,-0.0055100783,0.011644671,0.0061345925
20140716,-0.0040509105,0.0036652153,-0.00038569514
20140717,0.0032744752,-6.79029e-05,0.0032065723
20140718,-0.0020759034,0.0031575686,0.0010816653
20140721,0.013013983,-0.012487583,0.0005264003
20140722,-0.006855704,0.009911889,0.0030561853
20140723,-0.0019400849,0.0034263772,0.0014862923
20140724,0.009306008,-0.009474542,-0.000168534
20140725,0.01929196,-0.017532505,0.0017594546
20140728,0.012180369,-0.009978366,0.0022020033
20140729,0.0068763485,-0.0027649635,0.004111385
20140730,0.007383787,-0.0091175,-0.0017337129
20140731,-0.007679619,0.011860026,0.004180407
20140801,0.013198384,-0.017934388,-0.0047360035
20140804,0.008148832,-0.0063440246,0.0018048077
20140805,0.0057112053,-0.003070542,0.0026406634
20140806,-0.007920198,0.01128889,0.0033686915
20140807,0.009088671,-0.005679942,0.0034087286
20140808,0.016456075,-0.0144744385,0.0019816365
20140811,0.0054587303,-0.004082756,0.0013759742
20140812,0.0012654057,-0.0018901025,-0.00062469684
20140813,-0.0023838568,0.00663766,0.004253803
20140814,0.010673857,-0.010842568,-0.00016871095
20140815,0.01689576,-0.0134351645,0.0034605954
20140818,0.005881275,-0.0037959053,0.0020853698
